Game,Year,Month,Sales,Diff,Reply_SUM,Reply_MEAN,Reply_MAX,Reply_MIN,Like_SUM,Like_MEAN,Like_MAX,Like_MIN,Retweet_SUM,Retweet_MEAN,Retweet_MAX,Retweet_MIN,User Followers count_MEAN,User Followers count_MAX,User Followers count_MIN,User Followers count_SUM,User Following count_MEAN,User Following count_MAX,User Following count_MIN,User Following count_SUM,Sentiment_TEXTBLOB_MEAN,Sentiment_VADER_MEAN,Sentiment_NLTK_MEAN,meanAMZ,countAMZ,meanMTC,countMTC
ACNH,2020,9,26.04,3.6400000000000006,3820.0,23.43558282208589,1343.0,0.0,129223.0,792.7791411042945,14792.0,53.0,21975.0,134.8159509202454,3652.0,1.0,692016.2147239264,12661380.0,850.0,112798643.0,2381.7423312883434,106120.0,0.0,388224.0,0.8895705521472392,0.3100435582822086,0.3100435582822086,9.0,71.0,3.0,76.0
ACNH,2020,10,,,3854.0,46.43373493975904,2091.0,0.0,45612.0,549.5421686746988,4189.0,57.0,5200.0,62.65060240963855,532.0,7.0,1036506.2048192772,9641255.0,485.0,86030015.0,1856.3493975903611,106120.0,3.0,154077.0,0.8554216867469879,0.325610843373494,0.3254397590361446,9.0,92.0,3.0,66.0
ACNH,2020,11,,,3535.0,19.63888888888889,233.0,0.0,168117.0,933.9833333333332,14655.0,66.0,16370.0,90.94444444444444,1610.0,0.0,595362.9555555555,9641255.0,86.0,107165332.0,3197.555555555556,106120.0,0.0,575560.0,0.7611111111111111,0.2353794444444444,0.2353794444444444,9.0,136.0,4.0,64.0
ACNH,2020,12,31.18,5.140000000000001,11956.0,93.40625,7029.0,0.0,85465.0,667.6953125,11940.0,49.0,29332.0,229.15625,7332.0,0.0,488054.2265625,11903948.0,3.0,62470941.0,704.9453125,15372.0,0.0,90233.0,0.765625,0.30956640625,0.30946875,9.0,156.0,5.0,106.0
ACNH,2021,1,,,49376.0,357.7971014492754,33099.0,0.0,198545.0,1438.731884057971,47001.0,63.0,61028.0,442.231884057971,31839.0,0.0,871721.2971014492,12661382.0,129.0,120297539.0,626.8115942028985,9969.0,0.0,86500.0,0.855072463768116,0.2922702898550725,0.2922702898550725,9.0,122.0,4.0,23.0
ACNH,2021,2,,,2847.0,18.48701298701299,275.0,0.0,160198.0,1040.246753246753,12347.0,60.0,21109.0,137.07142857142858,1825.0,0.0,694425.7207792208,12661383.0,478.0,106941561.0,2041.3116883116884,106120.0,0.0,314362.0,0.8766233766233766,0.2616454545454545,0.2616454545454545,9.0,106.0,6.0,19.0
ACNH,2021,3,32.63,1.4500000000000028,7778.0,32.680672268907564,1876.0,0.0,383562.0,1611.6050420168067,31652.0,62.0,62922.0,264.3781512605042,5433.0,2.0,529951.2521008403,12661382.0,45.0,126128398.0,1505.7521008403362,106120.0,0.0,358369.0,0.8571428571428571,0.338318487394958,0.338318487394958,9.0,107.0,6.0,22.0
ACNH,2021,4,,,4018.0,38.63461538461539,2035.0,0.0,69266.0,666.0192307692307,5067.0,53.0,8795.0,84.5673076923077,879.0,0.0,463318.4134615384,7193793.0,1948.0,48185115.0,510.9326923076923,3980.0,2.0,53137.0,0.8076923076923077,0.2394942307692307,0.2394942307692307,9.0,100.0,4.0,16.0
ACNH,2021,5,,,2230.0,35.96774193548387,1099.0,0.0,54703.0,882.3064516129032,16668.0,83.0,6402.0,103.25806451612904,1355.0,2.0,535159.6451612903,9641260.0,629.0,33179898.0,2563.1935483870966,106120.0,0.0,158918.0,0.8709677419354839,0.1960774193548387,0.2063048387096774,9.0,63.0,4.0,16.0
ACNH,2021,6,33.89,1.259999999999998,8509.0,137.24193548387098,5563.0,0.0,56764.0,915.548387096774,8834.0,89.0,12027.0,193.98387096774192,5695.0,8.0,443426.43548387097,1826435.0,61.0,27492439.0,530.1290322580645,3980.0,0.0,32868.0,0.8709677419354839,0.1690838709677419,0.1690838709677419,9.0,51.0,3.0,22.0
